pos_idx,reference_pos,mod_rate
0,419,0.045065
1,418,0.127114
2,417,0.014362
3,416,0.026542
4,415,0.019326
5,414,0.037213
6,413,0.017878
7,412,0.009443
8,411,0.014760
9,410,0.025796
10,409,0.019421
11,408,0.024291
12,407,0.039031
13,406,0.018273
14,405,0.018414
15,404,0.024110
16,403,0.027676
17,402,0.031980
18,401,0.039426
19,400,0.027327
20,399,0.037220
21,398,0.059256
22,397,0.030742
23,396,0.018763
24,395,0.029954
25,394,0.037922
26,393,0.036414
27,392,0.029033
28,391,0.027358
29,390,0.028868
30,389,0.025935
31,388,0.030936
32,387,0.026270
33,386,0.028270
34,385,0.049297
35,384,0.030178
36,383,0.032735
37,382,0.018064
38,381,0.025826
39,380,0.015710
40,379,0.011187
41,378,0.021597
42,377,0.012028
43,376,0.021650
44,375,0.027640
45,374,0.013819
46,373,0.030492
47,372,0.014804
48,371,0.017604
49,370,0.022814
50,369,0.010051
51,368,0.014556
52,367,0.018592
53,366,0.016156
54,365,0.020464
55,364,0.020146
56,363,0.015109
57,362,0.016187
58,361,0.015764
59,360,0.014011
60,359,0.012313
61,358,0.026056
62,357,0.030754
63,356,0.015116
64,355,0.014030
65,354,0.022457
66,353,0.020319
67,352,0.015950
68,351,0.020164
69,350,0.026945
70,349,0.019611
71,348,0.024943
72,347,0.022077
73,346,0.009890
74,345,0.019192
75,344,0.019892
76,343,0.018524
77,342,0.021845
78,341,0.025769
79,340,0.006839
80,339,0.024031
81,338,0.029583
82,337,0.019281
83,336,0.028386
84,335,0.012143
85,334,0.017988
86,333,0.019360
87,332,0.020326
88,331,0.017063
89,330,0.019548
90,329,0.010834
91,328,0.013580
92,327,0.013201
93,326,0.009448
94,325,0.012692
95,324,0.004310
96,323,0.020356
97,322,0.016033
98,321,0.019508
99,320,0.022272
100,319,0.025255
101,318,0.017771
102,317,0.027284
103,316,0.039450
104,315,0.016931
105,314,0.017842
106,313,0.013493
107,312,0.038777
108,311,0.028400
109,310,0.037092
110,309,0.041372
111,308,0.042745
112,307,0.043334
113,306,0.045240
114,305,0.011156
115,304,0.039579
116,303,0.025417
117,302,0.032143
118,301,0.042868
119,300,0.041933
120,299,0.068863
121,298,0.256046
122,297,0.106376
123,296,0.216184
124,295,0.091498
125,294,0.144288
126,293,0.033539
127,292,0.064693
128,291,0.033621
129,290,0.038419
130,289,0.032335
131,288,0.038899
132,287,0.034417
133,286,0.023061
134,285,0.015706
135,284,0.028163
136,283,0.023564
137,282,0.018764
138,281,0.019684
139,280,0.027071
140,279,0.031760
141,278,0.022376
142,277,0.020443
143,276,0.012359
144,275,0.024304
145,274,0.041069
146,273,0.021091
147,272,0.025635
148,271,0.023721
149,270,0.012094
150,269,0.013541
151,268,0.011197
152,267,0.012202
153,266,0.013268
154,265,0.022294
155,264,0.022699
156,263,0.021534
157,262,0.026019
158,261,0.013922
159,260,0.016784
160,259,0.020411
161,258,0.025275
162,257,0.022414
163,256,0.023470
164,255,0.022783
165,254,0.026211
166,253,0.071110
167,252,0.044999
168,251,0.023416
169,250,0.063901
170,249,0.023374
171,248,0.069230
172,247,0.054574
173,246,0.064558
174,245,0.123301
175,244,0.064847
176,243,0.163689
177,242,0.034441
178,241,0.016893
179,240,0.023694
180,239,0.028251
181,238,0.012768
182,237,0.016840
183,236,0.014410
184,235,0.021529
185,234,0.024133
186,233,0.016821
187,232,0.021574
188,231,0.013036
189,230,0.007045
190,229,0.009615
191,228,0.014640
192,227,0.016529
193,226,0.021013
194,225,0.019887
195,224,0.003281
196,223,0.026218
197,222,0.018371
198,221,0.023004
199,220,0.028759
200,219,0.017830
201,218,0.027948
202,217,0.011270
203,216,0.016853
204,215,0.025785
205,214,0.038960
206,213,0.019258
207,212,0.014857
208,211,0.008904
209,210,0.015599
210,209,0.017802
211,208,0.031861
212,207,0.087647
213,206,0.164910
214,205,0.046276
215,204,0.014097
216,203,0.018880
217,202,0.029812
218,201,0.024600
219,200,0.019327
220,199,0.027211
221,198,0.016853
222,197,0.032464
223,196,0.023222
224,195,0.030966
225,194,0.015480
226,193,0.037328
227,192,0.022944
228,191,0.049750
229,190,0.022840
230,189,0.016864
231,188,0.025033
232,187,0.021514
233,186,0.100039
234,185,0.073653
235,184,0.031574
